ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I180,initiation,"{""PRFET3M2"": -1, ""LIGM2"": -1, ""PFET3M2"": 1, ""RLIGM2A"": 1}","{""PRFET3M2"": 1, ""LIGM2"": 1, ""PFET3M2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
I181,initiation,"{""PRLIGH"": -1, ""LIGM2"": -1, ""PLIGH"": 1, ""RLIGM2A"": 1}","{""PRLIGH"": 1, ""LIGM2"": 1, ""PLIGH"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,41860-4186,FALSE
I182,initiation,"{""RLIGM2B"": -1, ""LIGM2"": 1, ""RLIGM2A"": 1}","{""RLIGM2B"": 1, ""LIGM2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
I183,initiation,"{""RLIGM2A"": 1, ""LIGM2"": 1}","{""RLIGM2A"": 1, ""LIGM2"": 1}",gas,1*10**8,54418-4186,FALSE
I184,initiation,"{""RCH3"": -1, ""LIGM2"": -1, ""CH4"": 1, ""RLIGM2A"": 1}","{""RCH3"": 1, ""LIGM2"": 1, ""CH4"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,48139-4186,FALSE
I185,initiation,"{""PRKETM2"": -1, ""LIGM2"": -1, ""PKETM2"": 1, ""RLIGM2A"": 1}","{""PRKETM2"": 1, ""LIGM2"": 1, ""PKETM2"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
I186,initiation,"{""RKET"": -1, ""LIGM2"": -1, ""KET"": 1, ""RLIGM2A"": 1}","{""RKET"": 1, ""LIGM2"": 1, ""KET"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,54418-4186,FALSE
I187,initiation,"{""PRADIO"": -1, ""LIGM2"": -1, ""PADIO"": 1, ""RLIGM2A"": 1}","{""PRADIO"": 1, ""LIGM2"": 1, ""PADIO"": 1, ""RLIGM2A"": 1}",gas,1*10**8,46046-4186,FALSE
I188,initiation,"{""RC3H3O"": -1, ""LIGM2"": -1, ""C3H4O"": 1, ""RLIGM2A"": 1}","{""RC3H3O"": 1, ""LIGM2"": 1, ""C3H4O"": 1, ""RLIGM2A"": 1}",gas,1*10**8,83720-4186,FALSE
I189,initiation,"{""RLIGB"": -1, ""LIGM2"": -1, ""LIG"": 1, ""RLIGM2A"": 1}","{""RLIGB"": 1, ""LIGM2"": 1, ""LIG"": 1, ""RLIGM2A"": 1}",gas,1*10**8,56511-4186,FALSE
I190,initiation,"{""RLIGA"": -1, ""LIGM2"": -1, ""LIG"": 1, ""RLIGM2A"": 1}","{""RLIGA"": 1, ""LIGM2"": 1, ""LIG"": 1, ""RLIGM2A"": 1}",gas,1*10**8,56511-4186,FALSE
I191,initiation,"{""PRADIOM2"": -1, ""LIGM2"": -1, ""PADIOM2"": 1, ""RLIGM2A"": 1}","{""PRADIOM2"": 1, ""LIGM2"": 1, ""PADIOM2"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,41860-4186,FALSE
I192,initiation,"{""RMGUAI"": -1, ""LIGM2"": -1, ""MGUAI"": 1, ""RLIGM2A"": 1}","{""RMGUAI"": 1, ""LIGM2"": 1, ""MGUAI"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
