ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I254,initiation,"{""PRADIOM2"": -1, ""ADIOM2"": -1, ""PADIOM2"": 1, ""RADIOM2"": 1}","{""PRADIOM2"": 1, ""ADIOM2"": 1, ""PADIOM2"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,37674,False
I255,initiation,"{""RMGUAI"": -1, ""ADIOM2"": -1, ""MGUAI"": 1, ""RADIOM2"": 1}","{""RMGUAI"": 1, ""ADIOM2"": 1, ""MGUAI"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
I256,initiation,"{""OH"": -1, ""ADIOM2"": -1, ""H2O"": 1, ""RADIOM2"": 1}","{""OH"": 1, ""ADIOM2"": 1, ""H2O"": 0, ""RADIOM2"": 0}",gas,1*10**9.5,10465,False
I257,initiation,"{""RCH3O"": -1, ""ADIOM2"": -1, ""CH3OH"": 1, ""RADIOM2"": 1}","{""RCH3O"": 1, ""ADIOM2"": 1, ""CH3OH"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,28883,False
I258,initiation,"{""RPHENOL"": -1, ""ADIOM2"": -1, ""PHENOL"": 1, ""RADIOM2"": 1}","{""RPHENOL"": 1, ""ADIOM2"": 1, ""PHENOL"": 0, ""RADIOM2"": 0}",gas,1*10**8.5,50232,False
I259,initiation,"{""RADIO"": -1, ""ADIOM2"": -1, ""ADIO"": 1, ""RADIOM2"": 1}","{""RADIO"": 1, ""ADIOM2"": 1, ""ADIO"": 0, ""RADIOM2"": 0}",gas,1*10**8,50232,False
T260,termination,"{""RC3H5O2"": -1, ""KETM2"": -1, ""C3H6O2"": 1, ""RKETM2"": 1}","{""RC3H5O2"": 1, ""KETM2"": 1, ""C3H6O2"": 0, ""RKETM2"": 0}",gas,1*10**8,66976,False
P261,propagation,"{""PRFET3"": -1, ""KETM2"": -1, ""PFET3"": 1, ""RKETM2"": 1}","{""PRFET3"": 1, ""KETM2"": 1, ""PFET3"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
T262,termination,"{""RC3H7O2"": -1, ""KETM2"": -1, ""C3H8O2"": 1, ""RKETM2"": 1}","{""RC3H7O2"": 1, ""KETM2"": 1, ""C3H8O2"": 0, ""RKETM2"": 0}",gas,1*10**8,58604,False
I263,initiation,"{""RADIOM2"": -1, ""KETM2"": -1, ""ADIOM2"": 1, ""RKETM2"": 1}","{""RADIOM2"": 1, ""KETM2"": 1, ""ADIOM2"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
P264,propagation,"{""PRFET3M2"": -1, ""KETM2"": -1, ""PFET3M2"": 1, ""RKETM2"": 1}","{""PRFET3M2"": 1, ""KETM2"": 1, ""PFET3M2"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
I265,initiation,"{""PRLIGH"": -1, ""KETM2"": -1, ""PLIGH"": 1, ""RKETM2"": 1}","{""PRLIGH"": 1, ""KETM2"": 1, ""PLIGH"": 0, ""RKETM2"": 0}",gas,1*10**8.5,37674,False
I266,initiation,"{""RLIGM2B"": -1, ""KETM2"": -1, ""LIGM2"": 1, ""RKETM2"": 1}","{""RLIGM2B"": 1, ""KETM2"": 1, ""LIGM2"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
I267,initiation,"{""RLIGM2A"": -1, ""KETM2"": -1, ""LIGM2"": 1, ""RKETM2"": 1}","{""RLIGM2A"": 1, ""KETM2"": 1, ""LIGM2"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
T268,termination,"{""RCH3"": -1, ""KETM2"": -1, ""CH4"": 1, ""RKETM2"": 1}","{""RCH3"": 1, ""KETM2"": 1, ""CH4"": 0, ""RKETM2"": 0}",gas,1*10**8.5,43953,False
P269,propagation,"{""PRKETM2"": -1, ""KETM2"": -1, ""PKETM2"": 1, ""RKETM2"": 1}","{""PRKETM2"": 1, ""KETM2"": 1, ""PKETM2"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
T270,termination,"{""RKET"": -1, ""KETM2"": -1, ""KET"": 1, ""RKETM2"": 1}","{""RKET"": 1, ""KETM2"": 1, ""KET"": 0, ""RKETM2"": 0}",gas,1*10**8.5,50232,False
I271,initiation,"{""PRADIO"": -1, ""KETM2"": -1, ""PADIO"": 1, ""RKETM2"": 1}","{""PRADIO"": 1, ""KETM2"": 1, ""PADIO"": 0, ""RKETM2"": 0}",gas,1*10**8,41860,False
T272,termination,"{""RC3H3O"": -1, ""KETM2"": -1, ""C3H4O"": 1, ""RKETM2"": 1}","{""RC3H3O"": 1, ""KETM2"": 1, ""C3H4O"": 0, ""RKETM2"": 0}",gas,1*10**8,79534,False
I273,initiation,"{""RLIGB"": -1, ""KETM2"": -1, ""LIG"": 1, ""RKETM2"": 1}","{""RLIGB"": 1, ""KETM2"": 1, ""LIG"": 0, ""RKETM2"": 0}",gas,1*10**8,52325,False
I274,initiation,"{""RLIGA"": -1, ""KETM2"": -1, ""LIG"": 1, ""RKETM2"": 1}","{""RLIGA"": 1, ""KETM2"": 1, ""LIG"": 0, ""RKETM2"": 0}",gas,1*10**8,52325,False
I275,initiation,"{""PRADIOM2"": -1, ""KETM2"": -1, ""PADIOM2"": 1, ""RKETM2"": 1}","{""PRADIOM2"": 1, ""KETM2"": 1, ""PADIOM2"": 0, ""RKETM2"": 0}",gas,1*10**8.5,37674,False
I276,initiation,"{""RMGUAI"": -1, ""KETM2"": -1, ""MGUAI"": 1, ""RKETM2"": 1}","{""RMGUAI"": 1, ""KETM2"": 1, ""MGUAI"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
T277,termination,"{""OH"": -1, ""KETM2"": -1, ""H2O"": 1, ""RKETM2"": 1}","{""OH"": 1, ""KETM2"": 1, ""H2O"": 0, ""RKETM2"": 0}",gas,1*10**9.5,10465,False
T278,termination,"{""RCH3O"": -1, ""KETM2"": -1, ""CH3OH"": 1, ""RKETM2"": 1}","{""RCH3O"": 1, ""KETM2"": 1, ""CH3OH"": 0, ""RKETM2"": 0}",gas,1*10**8.5,28883,False
P279,propagation,"{""RPHENOL"": -1, ""KETM2"": -1, ""PHENOL"": 1, ""RKETM2"": 1}","{""RPHENOL"": 1, ""KETM2"": 1, ""PHENOL"": 0, ""RKETM2"": 0}",gas,1*10**8.5,50232,False
I280,initiation,"{""RADIO"": -1, ""KETM2"": -1, ""ADIO"": 1, ""RKETM2"": 1}","{""RADIO"": 1, ""KETM2"": 1, ""ADIO"": 0, ""RKETM2"": 0}",gas,1*10**8,50232,False
U281,unknown,"{""RC3H5O2"": -1, ""C10H2"": 0, ""C3H6O2"": 1, ""CHAR"": 0}","{""RC3H5O2"": 1, ""C10H2"": 0, ""C3H6O2"": 0, ""CHAR"": 0}",gas,1*10**8,92092,False
P282,propagation,"{""PRFET3"": -1, ""C10H2"": 0, ""PFET3"": 1, ""CHAR"": 0}","{""PRFET3"": 1, ""C10H2"": 0, ""PFET3"": 0, ""CHAR"": 0}",solid,1*10**8,75348,False
U283,unknown,"{""RC3H7O2"": -1, ""C10H2"": 0, ""C3H8O2"": 1, ""CHAR"": 0}","{""RC3H7O2"": 1, ""C10H2"": 0, ""C3H8O2"": 0, ""CHAR"": 0}",gas,1*10**8,83720,False
I284,initiation,"{""RADIOM2"": -1, ""C10H2"": 0, ""ADIOM2"": 1, ""CHAR"": 0}","{""RADIOM2"": 1, ""C10H2"": 0, ""ADIOM2"": 0, ""CHAR"": 0}",gas,1*10**8,75348,False
P285,propagation,"{""PRFET3M2"": -1, ""C10H2"": 0, ""PFET3M2"": 1, ""CHAR"": 0}","{""PRFET3M2"": 1, ""C10H2"": 0, ""PFET3M2"": 0, ""CHAR"": 0}",solid,1*10**8,75348,False
I286,initiation,"{""PRLIGH"": -1, ""C10H2"": 0, ""PLIGH"": 1, ""CHAR"": 0}","{""PRLIGH"": 1, ""C10H2"": 0, ""PLIGH"": 0, ""CHAR"": 0}",solid,1*10**8.5,62790,False
I287,initiation,"{""RLIGM2B"": -1, ""C10H2"": 0, ""LIGM2"": 1, ""CHAR"": 0}","{""RLIGM2B"": 1, ""C10H2"": 0, ""LIGM2"": 0, ""CHAR"": 0}",gas,1*10**8,75348,False
I288,initiation,"{""RLIGM2A"": -1, ""C10H2"": 0, ""LIGM2"": 1, ""CHAR"": 0}","{""RLIGM2A"": 1, ""C10H2"": 0, ""LIGM2"": 0, ""CHAR"": 0}",gas,1*10**8,75348,False
U289,unknown,"{""RCH3"": -1, ""C10H2"": 0, ""CH4"": 1, ""CHAR"": 0}","{""RCH3"": 1, ""C10H2"": 0, ""CH4"": 0, ""CHAR"": 0}",gas,1*10**8.5,69069,False
P290,propagation,"{""PRKETM2"": -1, ""C10H2"": 0, ""PKETM2"": 1, ""CHAR"": 0}","{""PRKETM2"": 1, ""C10H2"": 0, ""PKETM2"": 0, ""CHAR"": 0}",solid,1*10**8,75348,False
T291,termination,"{""RKET"": -1, ""C10H2"": 0, ""KET"": 1, ""CHAR"": 0}","{""RKET"": 1, ""C10H2"": 0, ""KET"": 0, ""CHAR"": 0}",gas,1*10**8.5,75348,False
I292,initiation,"{""PRADIO"": -1, ""C10H2"": 0, ""PADIO"": 1, ""CHAR"": 0}","{""PRADIO"": 1, ""C10H2"": 0, ""PADIO"": 0, ""CHAR"": 0}",solid,1*10**8,66976,False
U293,unknown,"{""RC3H3O"": -1, ""C10H2"": 0, ""C3H4O"": 1, ""CHAR"": 0}","{""RC3H3O"": 1, ""C10H2"": 0, ""C3H4O"": 0, ""CHAR"": 0}",gas,1*10**8,104650,False
I294,initiation,"{""RLIGB"": -1, ""C10H2"": 0, ""LIG"": 1, ""CHAR"": 0}","{""RLIGB"": 1, ""C10H2"": 0, ""LIG"": 0, ""CHAR"": 0}",gas,1*10**8,77441,False
I295,initiation,"{""RLIGA"": -1, ""C10H2"": 0, ""LIG"": 1, ""CHAR"": 0}","{""RLIGA"": 1, ""C10H2"": 0, ""LIG"": 0, ""CHAR"": 0}",gas,1*10**8,77441,False
I296,initiation,"{""PRADIOM2"": -1, ""C10H2"": 0, ""PADIOM2"": 1, ""CHAR"": 0}","{""PRADIOM2"": 1, ""C10H2"": 0, ""PADIOM2"": 0, ""CHAR"": 0}",solid,1*10**8.5,62790,False
I297,initiation,"{""RMGUAI"": -1, ""C10H2"": 0, ""MGUAI"": 1, ""CHAR"": 0}","{""RMGUAI"": 1, ""C10H2"": 0, ""MGUAI"": 0, ""CHAR"": 0}",gas,1*10**8,75348,False
U298,unknown,"{""OH"": -1, ""C10H2"": 0, ""H2O"": 1, ""CHAR"": 0}","{""OH"": 1, ""C10H2"": 0, ""H2O"": 0, ""CHAR"": 0}",solid,1*10**9.5,35581,False
U299,unknown,"{""RCH3O"": -1, ""C10H2"": 0, ""CH3OH"": 1, ""CHAR"": 0}","{""RCH3O"": 1, ""C10H2"": 0, ""CH3OH"": 0, ""CHAR"": 0}",gas,1*10**8.5,53999,False
P300,propagation,"{""RPHENOL"": -1, ""C10H2"": 0, ""PHENOL"": 1, ""CHAR"": 0}","{""RPHENOL"": 1, ""C10H2"": 0, ""PHENOL"": 0, ""CHAR"": 0}",gas,1*10**8.5,75348,False
I301,initiation,"{""RADIO"": -1, ""C10H2"": 0, ""ADIO"": 1, ""CHAR"": 0}","{""RADIO"": 1, ""C10H2"": 0, ""ADIO"": 0, ""CHAR"": 0}",gas,1*10**8,75348,False
I302,initiation,"{""RC3H5O2"": -1, ""LIG"": -1, ""C3H6O2"": 1, ""RLIGA"": 1}","{""RC3H5O2"": 1, ""LIG"": 1, ""C3H6O2"": 0, ""RLIGA"": 0}",gas,1*10**8,66976,False
I303,initiation,"{""PRFET3"": -1, ""LIG"": -1, ""PFET3"": 1, ""RLIGA"": 1}","{""PRFET3"": 1, ""LIG"": 1, ""PFET3"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I304,initiation,"{""RC3H7O2"": -1, ""LIG"": -1, ""C3H8O2"": 1, ""RLIGA"": 1}","{""RC3H7O2"": 1, ""LIG"": 1, ""C3H8O2"": 0, ""RLIGA"": 0}",gas,1*10**8,58604,False
I305,initiation,"{""RADIOM2"": -1, ""LIG"": -1, ""ADIOM2"": 1, ""RLIGA"": 1}","{""RADIOM2"": 1, ""LIG"": 1, ""ADIOM2"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I306,initiation,"{""PRFET3M2"": -1, ""LIG"": -1, ""PFET3M2"": 1, ""RLIGA"": 1}","{""PRFET3M2"": 1, ""LIG"": 1, ""PFET3M2"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I307,initiation,"{""PRLIGH"": -1, ""LIG"": -1, ""PLIGH"": 1, ""RLIGA"": 1}","{""PRLIGH"": 1, ""LIG"": 1, ""PLIGH"": 0, ""RLIGA"": 0}",gas,1*10**8.5,37674,False
I308,initiation,"{""RLIGM2B"": -1, ""LIG"": -1, ""LIGM2"": 1, ""RLIGA"": 1}","{""RLIGM2B"": 1, ""LIG"": 1, ""LIGM2"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I309,initiation,"{""RLIGM2A"": -1, ""LIG"": -1, ""LIGM2"": 1, ""RLIGA"": 1}","{""RLIGM2A"": 1, ""LIG"": 1, ""LIGM2"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I310,initiation,"{""RCH3"": -1, ""LIG"": -1, ""CH4"": 1, ""RLIGA"": 1}","{""RCH3"": 1, ""LIG"": 1, ""CH4"": 0, ""RLIGA"": 0}",gas,1*10**8.5,43953,False
I311,initiation,"{""PRKETM2"": -1, ""LIG"": -1, ""PKETM2"": 1, ""RLIGA"": 1}","{""PRKETM2"": 1, ""LIG"": 1, ""PKETM2"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
